Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-AZ-4615	0	0	0.0400843287466151	0.346688918164461	0	0.053753000259111	0.121952701977684	0.0887571551766048	0.0135886644829024	0	0.0305129841796051	0	0	0.0731562950086115	0.0934226534030372	0.0946731470051559	0.0111986261533166	0	0.0308042087293875	0	0.0014073167135081	0	0.087	0.140258413807796	1.04640873070442
TCGA-A6-A566	0	0.0127865789914064	0.0286640494639604	0.038327995872644	0	0.138064868241456	0	0.00449596713795978	0.05293953235264	0	0.0993621865639378	0	0	0.31754259682796	0.00891862993331988	0.198727743670321	0.0180772107791241	0	0	0.0783669454254706	0	0.00372569473979956	0.018	0.294926363841193	0.974073433680839
TCGA-AA-3955	0.0151799958699744	0	0.214594402427802	0.0525652655809593	0	0.139206745607907	0.223791417367269	0	0	0	0.058357631055661	0	0.000771500347149434	0.0408988044553457	0.00592695007578132	0.10287841003062	0.0168308047031122	0.0160414983031875	0.0829517964648827	0.0300047777103483	0	0	0.00900000000000001	0.379220753623695	0.925653456990509
TCGA-AA-3855	0	0.02982720429605	0.442233356478712	0.0868131074605605	0	0.0327518975551398	0.0329463438488508	0.0596538417912994	0.0404976218290342	0	0.0627227367656056	0	0	0.0959037740202825	0.0247656650213176	0.0550118105460397	0.0206539871651792	0	0	0.0160030468593144	0.000215606362614279	0	0	0.571758287553807	0.820147297231932
TCGA-F4-6856	0	0.00713805747209609	0.174138615284095	0.244864748303356	0	0.0757602447509838	0.0150902074841848	0.105314526805514	0.092007432625984	0	0.0436165784795902	0.0126908831002847	0	0.112749622874199	0.0472841608627424	0.0436483273115391	0.0256965946454314	0	0	0	0	0	0.018	0.296670920274049	0.972236282850769
TCGA-A6-5659	0.117404758692152	0	0	0	0	0.41246227737707	0.135939306606633	0	0	0	0.059071122292261	0	0.00744468739753071	0.0342509906308568	0	0.129716249824973	0	0.0336819170440407	0	0.0700286901344828	0	0	0.332	0.0330930283788084	1.07954211019707
TCGA-AA-3877	0	0.00319589435083991	0.0705906729247548	0.142461679795751	0	0.102320366180402	0	0.0728770713725148	0.072575129170771	0	0.0509375486170947	0	0.010467178000963	0.0646967180292277	0.0926156254796663	0	0.0741101513499841	0	0	0.0789399679066842	0.041361625090829	0.122850371730517	0.093	0.133116796417166	1.03281122090733
TCGA-DM-A280	0	0.0192520624311241	0.175340361277604	0	0.0234802239067182	0.0155761683967529	0	0	0.0729733703225482	0	0.0167374956326488	0.00328082002486125	0	0.361990382072697	0	0.0144285712124799	0	0.0134008767375231	0	0.26553071074753	0	0.0180089572375129	0.175	0.0795498133318663	1.10437414869104
TCGA-A6-2674	0	0	0.116848085944487	0.0207961410932455	0.0060040562402915	0.0359894344094003	0	0.0155067724597909	0.0202133183804187	0	0.0515319671016125	0	0	0.189544910131382	0.0221576951126705	0.115924540756999	0	0	0	0.251783893102253	0.0152367613844286	0.138462423883021	0.074	0.151095925822897	1.0485757738832
TCGA-AA-A00O	0	0.00183274793250349	0.129032599647134	0.0736569528788504	0	0.0330461436030301	0	0.0252680727634646	0.11579398676088	0	0.0591146986247265	0	0	0.385242655242301	0.0517686856383074	0.0824970269442359	0	0	0	0.0427464299645669	0	0	0.032	0.227939863240614	1.00744422132865
TCGA-AZ-4308	0.00395457262820933	0.0197700625674793	0.0873796463925169	0.0882021648990027	0	0.0175242607673953	0	0.0323558838138257	0.158823155447556	0	0.0550355986462983	0	0	0.259756708814225	0.0410959933686222	0.0857200237034956	0.0229330348578151	0	0	0.127448894093559	0	0	0.054	0.181078942328585	1.0177948539782
TCGA-AA-A01V	0	0	0.155351522942614	0.123377018757606	0	0.0926611157323072	0.0928407502264996	0.153122052259639	0.149251646988891	0	0.0537783742701458	0	0.00750488581829272	0.0666869070185313	0.0220297718583467	0.00738994528436121	0	0	0	0.0760060088427643	0	0	0.033	0.227223046202413	1.00840442488959
TCGA-AA-A00K	0	0.0703504121395203	0.208719331080869	0.0288920028393672	0	0.0520522266794912	0.02679859994453	0.0370235495910804	0.113990248331538	0	0.055010404855088	0	0	0.177212687791294	0.00236840541449966	0.0509922571907504	0	0.00713367386378681	0	0.169456200278186	0	0	0.00800000000000001	0.400238072926068	0.917407174783099
TCGA-AA-A01P	0.00150583908625663	0.00950852961586868	0.189660517478403	0.216906797219244	0	0	0.0731978474330711	0.0892039923910815	0.057133427075709	0	0.0743314618754075	0	0	0.104252900740312	0.0689831414778175	0.0823184552940013	0.000197113866235176	0.0010978533904858	0	0.0157367204279197	0	0.0159654026281872	0.014	0.318062003412348	0.955432794841525
